kmer_score	max_kmer_score	phatsCons	Roll_shape	ProT_shape	MGW_shape	HelT_shape	max_kmer_score_pos	dn_hg_score	dn_hg_score2	dnase	tss_dist	
Ap2	10197	8452	8190	9309	9522	8383	9289	10021	10747	10528	3585	10670	
Arid3a	4168	3976	4152	4174	4192	3575	3894	4065	4481	4938	2406	4838	
Egr1	13492	9263	9357	10622	11451	9489	10694	11988	13528	13919	3717	12213	
Elk1	1412	1072	1677	1486	1526	1327	1663	1275	1846	1783	292	1968	
Elk4	651	756	1030	766	852	794	885	727	1193	1090	392	1202	
Ets1	6283	5273	5826	5981	6394	5649	6383	5646	7124	7117	1833	7427	
Gabp	1990	1511	1656	1762	1834	1623	1770	1643	1908	2050	403	2276	
Gata3	12809	10593	9684	11332	11845	10918	10835	11375	12936	13049	5971	12623	
Gr	6235	5213	5352	5947	6251	5519	6250	5612	6895	6665	2423	7084	
Hnf4a	7658	7380	6141	6883	7116	6375	6840	7018	7416	7712	4334	7421	
Irf3	510	471	709	512	556	469	405	379	567	559	106	735	
Jund	3737	3490	3404	3604	3650	3530	3663	3594	3797	4000	1480	4392	
Mafk	5951	5725	5443	5634	5897	5309	5297	6090	6140	6426	1998	6561	
Max	15005	11437	10539	12979	13277	11927	12724	13293	15696	15240	4686	14615	
Pou2f2	5427	5379	9335	10683	11097	9634	10659	5108	12335	12363	4363	11976	
Rxra	1259	1109	1157	1167	1183	1102	1114	1141	1392	1272	357	1566	
Sp1	4495	3720	3869	3685	4044	3426	3922	3618	4218	4621	932	4628	
Srf	2245	2313	2424	2480	2430	1944	2147	2245	2704	2759	976	2821	
Taf1	
Tbp	8712	8101	7109	8337	8768	7695	8209	8131	9160	9366	3450	9728	
Tcf7l2	1619	1695	1686	1473	1623	1605	1592	1582	1598	1648	893	1719	
