Tf_name	All	kmer_score	phatsCons	Roll	ProT	MGW	HelT	max_kmer_score_pos	dn_hg_score	dn_hg_score2	tss_dist	phyloP100way	None
Ap2	0.973875730823	0.893535637437	0.948416433217	0.968913988206	0.968913988206	0.968913988206	0.968913988206	0.954069631029	0.934463142598	0.941164662429	0.960461811403	0.954855317819	0.907929307765
Arid3a	0.886033072906	0.843749242407	0.837517424955	0.856521443006	0.856521443006	0.856521443006	0.856521443006	0.838004204986	0.8317377881	0.835231682014	0.846854937422	0.83795979416	0.798563212439
Egr1	0.904835799876	0.831454916291	0.858548786558	0.877645959038	0.877645959038	0.877645959038	0.877645959038	0.864005268973	0.846863565176	0.852511503114	0.886621058894	0.863391445811	0.836229710207
Elk1	0.97386502678	0.945983415989	0.946482682008	0.953778536005	0.953778536005	0.953778536005	0.953778536005	0.948119658798	0.943628327713	0.943881293394	0.961575084309	0.948072049197	0.936452608609
Elk4	0.961866534144	0.921990261154	0.922859415357	0.9340823915	0.9340823915	0.9340823915	0.9340823915	0.913993622604	0.92477167457	0.92391976549	0.947061221087	0.925842071862	0.893231394162
Ets1	0.94260006564	0.831925781087	0.880719503301	0.900709696483	0.900709696483	0.900709696483	0.900709696483	0.880460287541	0.859380072531	0.866772344203	0.918729458751	0.882358002922	0.85365510223
Gabp	0.950734361961	0.906965391216	0.918001242178	0.927607812851	0.927607812851	0.927607812851	0.927607812851	0.912597213421	0.910712574411	0.910849326538	0.940154516212	0.921429894836	0.900231870151
Gata3	0.905107124271	0.850785996596	0.868877611783	0.890412465749	0.890412465749	0.890412465749	0.890412465749	0.873520420434	0.864453006797	0.865687853024	0.881072167199	0.873953583962	0.854668828584
Gr	0.798990885417	0.668538411458	0.691989474826	0.733913845486	0.733913845486	0.733913845486	0.733913845486	0.681640625	0.662109375	0.668538411458	0.732381184896	0.663791232639	0.601643880208
Hnf4a	0.973204326535	0.929781374488	0.955779645638	0.966230390097	0.966230390097	0.966230390097	0.966230390097	0.955861331316	0.950215378867	0.953138109758	0.965519003091	0.958432323098	0.936937444011
Irf3	0.942840620816	0.884476509443	0.895835412931	0.905144550652	0.905144550652	0.905144550652	0.905144550652	0.894840648352	0.885218280262	0.89125570957	0.910689760809	0.892904471622	0.860171898073
Jund	0.909596715522	0.846313334235	0.870055972127	0.884882553587	0.884882553587	0.884882553587	0.884882553587	0.864323855971	0.860308925196	0.867875874222	0.890089752823	0.877179969948	0.850248712202
Mafk	0.929834545069	0.881776446071	0.889370717843	0.911156743983	0.911156743983	0.911156743983	0.911156743983	0.895209049093	0.896172010134	0.887594912128	0.892727255121	0.892026606739	0.874663170107
Max	0.928091495758	0.864143867918	0.886375981702	0.901965284686	0.901965284686	0.901965284686	0.901965284686	0.887081535503	0.876937807521	0.881197019031	0.906984085979	0.893812145449	0.880688523275
Pou2f2	0.94352214958	0.889780337563	0.905242715663	0.916015568191	0.916015568191	0.916015568191	0.916015568191	0.900379263596	0.906273885025	0.909398190138	0.926109234217	0.903505515647	0.871572540358
Rxra	0.724010190846	0.639664014361	0.616230195382	0.644724809982	0.644724809982	0.644724809982	0.644724809982	0.598690781706	0.628393960859	0.635158610865	0.681778408346	0.621594057794	0.558988119354
Sp1	0.911186544123	0.820847666344	0.851087537009	0.86697238059	0.86697238059	0.86697238059	0.86697238059	0.846733590787	0.846394945294	0.851355528904	0.88236555256	0.853917003028	0.811622388668
Srf	0.915456968004	0.844443772019	0.86174549714	0.878095184746	0.878095184746	0.878095184746	0.878095184746	0.862012577798	0.854848914372	0.853927886222	0.888906199672	0.858712831275	0.838705539073
Tbp	0.89240656163	0.762724265068	0.800701137734	0.829678526139	0.829678526139	0.829678526139	0.829678526139	0.791064006868	0.788398832853	0.793225268976	0.849049810556	0.804595185315	0.753134492428
Tcf7l2	0.863268312757	0.808058504801	0.810505418381	0.818284156379	0.818284156379	0.818284156379	0.818284156379	0.800003017833	0.801213100137	0.791963717421	0.803550205761	0.816901920439	0.754969478738
