Tf_name	All	max_kmer_score	dnase	sum_kmer_score	phatsCons	Roll	ProT	MGW	HelT	max_kmer_score_pos	dn_hg_score	hg_dn_score	tss_dist	phyloP100way	
Ap2	0.958567790698	0.957443702414	0.937332597175	0.959950991309	0.957670772154	0.95880298103	0.95880298103	0.95880298103	0.95880298103	0.958443414736	0.958370595326	0.958072874393	0.95199264794	0.957474630208	
Arid3a	0.886033072906	0.884709832744	0.731897838384	0.876050318634	0.883258758965	0.885545436324	0.885545436324	0.885545436324	0.885545436324	0.885868018292	0.885822387531	0.883037950725	0.880826805513	0.885007029681	
Egr1	0.950912166296	0.951241761452	0.941267740269	0.952948221785	0.949936836315	0.95132500924	0.95132500924	0.95132500924	0.95132500924	0.949732011879	0.950618256631	0.948917119751	0.936727183801	0.950582883205	
Elk1	0.980846267248	0.981334302946	0.9741834067	0.980956274413	0.981160573432	0.981264768085	0.981264768085	0.981264768085	0.981264768085	0.981719650939	0.980967684158	0.981458303194	0.967141656506	0.981012031469	
Elk4	0.953055269944	0.951792895172	0.946748779346	0.951712146252	0.949566916629	0.95211858248	0.95211858248	0.95211858248	0.95211858248	0.951591022873	0.950086401344	0.951677155054	0.928176527904	0.952643450455	
Ets1	0.883769561137	0.883956508564	0.854716525484	0.880460424562	0.882411310735	0.883425702987	0.883425702987	0.883425702987	0.883425702987	0.882948415022	0.882428835717	0.881646253133	0.852796361591	0.883778687839	
Gabp	0.985040779474	0.984864998293	0.979984485496	0.984259004221	0.98487797838	0.985139010134	0.985139010134	0.985139010134	0.985139010134	0.98476489762	0.984691527127	0.984963448954	0.980657910021	0.984669416978	
Gata3	0.905107124271	0.902377637965	0.853613550013	0.904053062127	0.902344910311	0.905106313321	0.905106313321	0.905106313321	0.905106313321	0.904736519798	0.904160397245	0.901792363254	0.900512335487	0.903500225444	
Gr	0.765384676434	0.764321201251	0.666513229949	0.764321201251	0.76617831463	0.762614879129	0.762614879129	0.762614879129	0.762614879129	0.764321201251	0.755400707925	0.755480071745	0.739718417168	0.766575133728	
Hnf4a	0.973204326535	0.97149718245	0.95725529886	0.973738429642	0.972558865355	0.973669328754	0.973669328754	0.973669328754	0.973669328754	0.97262305933	0.973463815669	0.972861593057	0.970818700629	0.973271926485	
Irf3	0.965431671283	0.962180670976	0.937307633118	0.969894582949	0.964566020314	0.963469529086	0.963469529086	0.963469529086	0.963469529086	0.963892736227	0.965450907972	0.962700061557	0.95406278855	0.960141582025	
Jund	0.984582929249	0.984554597176	0.965483812199	0.98453052275	0.984516635332	0.984982085841	0.984982085841	0.984982085841	0.984982085841	0.984577243679	0.985144964786	0.985427440952	0.985075510286	0.984435557194	
Mafk	0.915413202853	0.912114815048	0.890287698115	0.911663228723	0.915638297066	0.915907181467	0.915907181467	0.915907181467	0.915907181467	0.914077312864	0.90998573134	0.914719099434	0.915850906575	0.915479075595	
Max	0.966323811967	0.964846855212	0.95443775527	0.966947263644	0.967113392502	0.9665419799	0.9665419799	0.9665419799	0.9665419799	0.967204300269	0.966332163918	0.965719580484	0.961556400935	0.967673347941	
Pou2f2	0.920726369972	0.920321683378	0.869749843736	0.921000354304	0.921231490668	0.920861095219	0.920861095219	0.920861095219	0.920861095219	0.92114760827	0.917280959214	0.917495990873	0.90294466809	0.91947213144	
Rxra	0.680951441145	0.699102223865	0.576457941414	0.693072258801	0.673176733405	0.688831127385	0.688831127385	0.688831127385	0.688831127385	0.685459217952	0.689284634507	0.677594228702	0.669086771029	0.681570814297	
Sp1	0.926896205496	0.926149882727	0.872139667174	0.926539720035	0.924870793639	0.926486880247	0.926486880247	0.926486880247	0.926486880247	0.927159305788	0.925464796564	0.92328353349	0.909004888674	0.925157881101	
Srf	0.957325963466	0.956340498998	0.941355535754	0.955546057028	0.958553129873	0.958632768991	0.958632768991	0.958632768991	0.958632768991	0.956767097349	0.956662953887	0.954032913789	0.946987636445	0.955854588995	
Tbp	0.85654701925	0.855370104524	0.789365529122	0.864461745668	0.853211378405	0.855566346266	0.855566346266	0.855566346266	0.855566346266	0.856153598254	0.853550825389	0.855170548002	0.825309927853	0.857212285784	
Tcf7l2	0.884808082318	0.878692445842	0.835822011177	0.885185760737	0.88373209224	0.882792813881	0.882792813881	0.882792813881	0.882792813881	0.881877140424	0.883650458624	0.884478597239	0.881766000681	0.880610344061	
