Tf_name	All	None	Roll	ProT	MGW	HelT
Ap2	0.968642513173	0.908003265073	0.968913988206	0.968913988206	0.968913988206	0.968913988206
Arid3a	0.856097294958	0.798982922	0.856521443006	0.856521443006	0.856521443006	0.856521443006
Egr1	0.877429494106	0.836881654506	0.877645959038	0.877645959038	0.877645959038	0.877645959038
Elk1	0.953113429875	0.936521642531	0.953778536005	0.953778536005	0.953778536005	0.953778536005
Elk4	0.934566904479	0.892186639618	0.9340823915	0.9340823915	0.9340823915	0.9340823915
Ets1	0.900893885459	0.853738840655	0.900709696483	0.900709696483	0.900709696483	0.900709696483
Gabp	0.927167855857	0.903820738802	0.927607812851	0.927607812851	0.927607812851	0.927607812851
Gata3	0.891391630803	0.854473679089	0.890412465749	0.890412465749	0.890412465749	0.890412465749
Gr	0.733642578125	0.601643880208	0.733913845486	0.733913845486	0.733913845486	0.733913845486
Hnf4a	0.966343999578	0.936760448753	0.966230390097	0.966230390097	0.966230390097	0.966230390097
Irf3	0.906187504518	0.860664117224	0.905144550652	0.905144550652	0.905144550652	0.905144550652
Jund	0.886228955613	0.850181077692	0.884882553587	0.884882553587	0.884882553587	0.884882553587
Mafk	0.910656707798	0.874950023697	0.911156743983	0.911156743983	0.911156743983	0.911156743983
Max	0.901670748903	0.880853215346	0.901965284686	0.901965284686	0.901965284686	0.901965284686
Pou2f2	0.915087291572	0.871141470501	0.916015568191	0.916015568191	0.916015568191	0.916015568191
Rxra	0.649040519688	0.560899059385	0.644724809982	0.644724809982	0.644724809982	0.644724809982
Sp1	0.865578848892	0.81191831764	0.86697238059	0.86697238059	0.86697238059	0.86697238059
Srf	0.877952141547	0.838886593751	0.878095184746	0.878095184746	0.878095184746	0.878095184746
Tbp	0.830391286215	0.753134492428	0.829678526139	0.829678526139	0.829678526139	0.829678526139
Tcf7l2	0.818810082305	0.756303703704	0.818284156379	0.818284156379	0.818284156379	0.818284156379
