Tf_name	sgd	svms	xgboost	gradient	
Ap2	0.7264	0.8079	0.9223	0.8395	
Arid3a	0.6836	0.7782	0.8843	0.8259	
Egr1	0.7915	0.7956	0.9172	0.8379	
Elk1	0.8993	0.8950	0.9766	0.9331	
Elk4	0.6856	0.8341	0.9424	0.8724	
Ets1	0.6270	0.7418	0.8666	0.7971	
Gabp	0.8236	0.8780	0.9802	0.9231	
Gata3	0.7109	0.7932	0.8849	0.8060	
Gr	0.6315	0.7311	0.7844	0.7231	
Hnf4a	0.8043	0.8196	0.9384	0.8626	
Irf3	0.8289	0.8048	0.9544	0.8860	
Jund	0.9138	0.9316	0.9841	0.9324	
Mafk	0.7851	0.7818	0.9017	0.8307	
Max	0.8514	0.8611	0.9558	0.8899	
Pou2f2	0.7431	0.7654	0.9015	0.8171	
Rxra	0.5994	0.6363	0.6809	0.5881	
Sp1	0.6330	0.7781	0.9036	0.8286	
Srf	0.6619	0.7507	0.9328	0.8586	
Tbp	0.5177	0.7434	0.8433	0.7612	
Tcf7l2	0.7398	0.7714	0.8730	0.7959	
