pwm_score	kmer_score	max_kmer_score	Roll_shape	ProT_shape	MGW_shape	HelT_shape	max_kmer_score_pos	dn_hg_score	dn_hg_score2	dnase	
Ap2	11244	11111	8341	10016	10518	9182	10351	10949	11565	11446	3729	
Arid3a	946	5763	5343	5525	5938	4829	5417	5786	5576	6078	2909	
Egr1	13199	14219	9955	11461	12239	10786	11678	13016	14500	14521	3891	
Elk1	1947	2013	1595	2313	2392	2210	2526	1834	2721	2799	433	
Elk4	1280	955	962	1314	1257	1252	1186	1029	1674	1673	498	
Ets1	6278	8504	6621	8152	8446	7520	8331	7798	9186	9508	2293	
Gabp	2514	2511	1884	2377	2687	2156	2407	2081	2716	2645	458	
Gata3	8833	14455	11886	13003	13207	12550	12885	13119	14777	14720	6627	
Gr	8053	7348	6359	7390	7631	6667	7573	6851	8153	8298	2989	
Hnf4a	7286	6748	5583	5723	6392	5761	6129	6328	6759	7154	3869	
Irf3	690	725	633	651	725	643	634	653	861	806	126	
Jund	4130	4852	4270	4703	4558	4377	4494	4301	4870	5079	1716	
Mafk	5729	4740	3984	4386	4959	4565	4432	5078	5037	5506	1607	
Max	14183	16243	12487	14002	14540	13024	13876	14627	16608	16195	4960	
Pou2f2	13521	6034	5288	12382	13182	11400	12436	5425	14399	14789	4797	
Rxra	1560	1616	1471	1462	1576	1506	1507	1492	1734	1623	479	
Sp1	5813	5743	4894	4912	5321	4822	5070	4836	5411	5870	1089	
Srf	3231	2854	2865	2687	2833	2531	2757	2756	3110	3495	1027	
Tbp	10792	10530	9317	9926	10743	9051	9764	9648	10838	10995	3811	
Tcf7l2	1966	1889	1774	1799	1846	1753	1844	1845	1825	2042	999	
