Tf_name	AUC	AUPRC	
Ap2	0.969629457605	0.967028447896	
Arid3a	0.871127076167	0.852579262049	
Egr1	0.902105585839	0.911651140092	
Elk1	0.968830787542	0.97114564576	
Elk4	0.961050614886	0.962128973571	
Ets1	0.939764159883	0.932960986153	
Gabp	0.942719531276	0.947173738305	
Gata3	0.889762546682	0.887761995812	
Gr	0.796023825826	0.743983361148	
Hnf4a	0.965521312226	0.965655318165	
Irf3	0.946031440068	0.927597905978	
Jund	0.904539335866	0.91214940445	
Mafk	0.906252066055	0.909838090472	
Max	0.926449967116	0.915759746733	
Pou2f2	0.936487359739	0.93228627328	
Rxra	0.742263348589	0.714333611668	
Sp1	0.904265682849	0.887451495053	
Srf	0.907068184592	0.913463596107	
Tbp	0.668174119241	0.650860624848	
Tcf7l2	0.835814609053	0.849462619421	
