Tf_name	AUC	AUPRC	
Ap2	0.973798319908	0.972580210323	
Arid3a	0.878571379255	0.852484445354	
Egr1	0.908241389358	0.92083968667	
Elk1	0.971918428883	0.972619894279	
Elk4	0.960257489182	0.963738075109	
Ets1	0.941450306845	0.934531356944	
Gabp	0.951529129116	0.95395060493	
Gata3	0.901778750867	0.901047123824	
Gr	0.794586327921	0.73863602253	
Hnf4a	0.969497124491	0.968916551218	
Irf3	0.935243923847	0.908933137732	
Jund	0.909831864263	0.917197338179	
Mafk	0.916974851192	0.925264418943	
Max	0.925921931048	0.916910777221	
Pou2f2	0.941392464487	0.939084221638	
Rxra	0.714725677228	0.687389238694	
Sp1	0.903610312527	0.887777292363	
Srf	0.914931809406	0.923197136887	
Tbp	0.676321551325	0.649947118698	
Tcf7l2	0.854084430727	0.866530790113	
