Tf_name	AUC	AUPRC	
Ap2	0.977606933355	0.976294930098	
Arid3a	0.880469079034	0.857758393684	
Egr1	0.910383578774	0.921232684895	
Elk1	0.97223757191	0.972781923136	
Elk4	0.960571050507	0.963749426583	
Ets1	0.943579325179	0.935936789985	
Gabp	0.952161968975	0.954335421149	
Gata3	0.907285569572	0.906644337927	
Gr	0.797471857658	0.741673216472	
Hnf4a	0.979244390734	0.980103583897	
Irf3	0.93453141081	0.908908527432	
Jund	0.911029543485	0.918074279811	
Mafk	0.963480840785	0.962299181383	
Max	0.928093808582	0.919258949788	
Pou2f2	0.945298583355	0.942259981713	
Rxra	0.711409542972	0.684839238534	
Sp1	0.908936667799	0.894173249484	
Srf	0.964137669576	0.964410773266	
Tbp	0.681431935356	0.659109092954	
Tcf7l2	0.863327983539	0.876172027636	
