Tf_name	All	None	Noise	Preferred	
Ap2	0.946854418377	0.907929307765	0.941118011884	0.934736049179	
Arid3a	0.840525421343	0.798563212439	0.835243595847	0.832253950396	
Egr1	0.859384902087	0.836229710207	0.851783195134	0.846340310068	
Elk1	0.945521920254	0.936452608609	0.943837809958	0.94369196588	
Elk4	0.931868717527	0.893231394162	0.923040564128	0.924912034877	
Ets1	0.873378079165	0.85365510223	0.865904024742	0.859885703273	
Gabp	0.909852739712	0.900231870151	0.910342438581	0.910775246131	
Gata3	0.871208399966	0.854668828584	0.866274112461	0.863949522257	
Gr	0.675401475694	0.607367621528	0.670057508681	0.662163628472	
Hnf4a	0.955185389544	0.936937444011	0.953073742598	0.950249149978	
Irf3	0.903803855831	0.860171898073	0.891837423112	0.884388736098	
Jund	0.865897729308	0.850248712202	0.868499939677	0.860148064739	
Mafk	0.904679432678	0.874663170107	0.887837338172	0.896671125096	
Max	0.887404740809	0.880688523275	0.881394436547	0.877887550788	
Pou2f2	0.917569254516	0.871572540358	0.909497601991	0.905722016492	
Rxra	0.668867783872	0.558988119354	0.633856020771	0.624229771511	
Sp1	0.859481660513	0.811622388668	0.851451059056	0.846504443983	
Srf	0.865875744475	0.838705539073	0.852304896079	0.856378126194	
Tbp	0.805218002305	0.75314548726	0.793667529377	0.787890657096	
Tcf7l2	0.807936625514	0.754969478738	0.79059430727	0.800711454047	
