Tf_name	All	kmer_score	max_kmer_score	phatsCons	Roll	ProT	MGW	HelT	max_kmer_score_pos	dn_hg_score	dn_hg_score2	dnase	tss_dist	
Ap2	0.973875730823	0.97488194746	0.973465968329	0.973288188061	0.973876858166	0.973876858166	0.973876858166	0.973876858166	0.973124991679	0.974138706045	0.973570972317	0.962042364779	0.969678201788	
Arid3a	0.886033072906	0.876050318634	0.884709832744	0.883258758965	0.885545436324	0.885545436324	0.885545436324	0.885545436324	0.885868018292	0.885822387531	0.883037950725	0.731897838384	0.880826805513	
Egr1	0.904835799876	0.907993966177	0.903593888477	0.903754264347	0.904403477036	0.904403477036	0.904403477036	0.904403477036	0.903176194928	0.905231701247	0.903745341087	0.8881110612	0.882269239641	
Elk1	0.97386502678	0.974492680024	0.973819004166	0.973890894664	0.974551557231	0.974551557231	0.974551557231	0.974551557231	0.974373973418	0.973678555842	0.973614600278	0.963706883555	0.963399008133	
Elk4	0.961866534144	0.960644829642	0.962203338896	0.963080290894	0.963199507179	0.963199507179	0.963199507179	0.963199507179	0.962471613028	0.961789605899	0.962114564001	0.950694243668	0.947370283684	
Ets1	0.94260006564	0.942654468947	0.941532445173	0.939048560819	0.942093723743	0.942093723743	0.942093723743	0.942093723743	0.94235080604	0.941589337521	0.947381511907	0.910336415121	0.912747050576	
Gabp	0.950734361961	0.951780538545	0.950697549931	0.949921188791	0.951236306153	0.951236306153	0.951236306153	0.951236306153	0.950845710744	0.95120071105	0.951954787222	0.926978585743	0.926573159041	
Gata3	0.905107124271	0.904053062127	0.902377637965	0.902344910311	0.905106313321	0.905106313321	0.905106313321	0.905106313321	0.904736519798	0.904160397245	0.901792363254	0.853613550013	0.900512335487	
Gr	0.798990885417	0.761176215278	0.786783854167	0.782986111111	0.792453342014	0.792453342014	0.792453342014	0.792453342014	0.788601345486	0.792588975694	0.78369140625	0.625678168403	0.743489583333	
Hnf4a	0.973204326535	0.973738429642	0.97149718245	0.972558865355	0.973669328754	0.973669328754	0.973669328754	0.973669328754	0.97262305933	0.973463815669	0.972861593057	0.95725529886	0.970818700629	
Irf3	0.942840620816	0.942021402928	0.94241035932	0.940024989588	0.94225202309	0.94225202309	0.94225202309	0.94225202309	0.942551485091	0.942184902296	0.942303654469	0.878927857194	0.9244891075	
Jund	0.909596715522	0.91138124294	0.909086422281	0.907036548227	0.908255285546	0.908255285546	0.908255285546	0.908255285546	0.909604027361	0.90826281674	0.909563081063	0.878855843439	0.893004690545	
Mafk	0.929834545069	0.924812197076	0.927179529192	0.929433883049	0.930561630385	0.930561630385	0.930561630385	0.930561630385	0.927500730443	0.924269131246	0.927942927801	0.910326594257	0.930124799682	
Max	0.928091495758	0.928294970024	0.927040096747	0.928022721456	0.928732989077	0.928732989077	0.928732989077	0.928732989077	0.928694308619	0.927364034562	0.928178575961	0.889825270679	0.913674713233	
Pou2f2	0.94352214958	0.942888037651	0.942978275295	0.942365992674	0.942928893858	0.942928893858	0.942928893858	0.942928893858	0.942119498476	0.940582892111	0.940388640759	0.910664083571	0.929974791868	
Rxra	0.724010190846	0.717231799448	0.730720970423	0.728051620282	0.72278332182	0.72278332182	0.72278332182	0.72278332182	0.720035356315	0.724509078992	0.713824403575	0.629392780142	0.693833807172	
Sp1	0.911186544123	0.909828326144	0.910705205043	0.909334221809	0.911119395739	0.911119395739	0.911119395739	0.911119395739	0.912030358917	0.909888699526	0.9088973257	0.845000864271	0.887355145737	
Srf	0.915456968004	0.916057399335	0.912096703204	0.914235099	0.917063703238	0.917063703238	0.917063703238	0.917063703238	0.913312820472	0.915548995797	0.911580547325	0.888098705809	0.891266162381	
Tbp	0.89240656163	0.892148424435	0.891902998339	0.889870992545	0.892300367646	0.892300367646	0.892300367646	0.892300367646	0.892876657726	0.889568473774	0.891326198742	0.855238989025	0.855585728472	
Tcf7l2	0.863268312757	0.859041289438	0.856510288066	0.861656721536	0.862602469136	0.862602469136	0.862602469136	0.862602469136	0.862126817558	0.860443689986	0.862611659808	0.8075239369	0.859596433471	
